ANO4,TRIMESTRE,FECHA,PERIODO,AGLOMERADO_NOMBRE,ingreso_medio_real,ingreso_mediano_real,p25_real,p75_real,p90_real,ocupados,ocupados_con_ingreso_valido,no_respuesta_ingreso,tasa_no_respuesta_ingreso
2020,4,2020-10-01,2020T4,Neuquen-Plottier,1051962.5466280456,926802.0238398146,476641.0408319047,1324002.8911997352,1880084.1055036238,336,276,55,16.36904761904762
2021,1,2021-01-01,2021T1,Neuquen-Plottier,1109120.6881218113,943690.7076206063,589806.6922628789,1415536.0614309092,2052527.2890748186,432,343,78,18.055555555555554
2021,2,2021-04-01,2021T2,Neuquen-Plottier,1216417.21329888,1051458.3313477673,630874.9988086603,1472041.6638868742,2102916.6626955345,483,401,78,16.149068322981368
2021,3,2021-07-01,2021T3,Neuquen-Plottier,1166912.8638124806,1058017.8608223593,577100.6513576505,1538935.0702870681,1923668.8378588352,474,370,95,20.042194092827003
2021,4,2021-10-01,2021T4,Neuquen-Plottier,1170154.853741414,1049418.2688328908,629650.9612997344,1504166.1853271434,2011385.0152630408,504,404,96,19.047619047619047
2022,1,2022-01-01,2022T1,Neuquen-Plottier,1098114.1376081805,926599.5080548548,617733.0053699033,1328125.961545292,1930415.6417809478,515,419,90,17.475728155339805
2022,2,2022-04-01,2022T2,Neuquen-Plottier,989408.186888093,914519.0179711174,587905.0829814326,1175810.165962865,1829038.0359422348,505,375,125,24.752475247524753
2022,3,2022-07-01,2022T3,Neuquen-Plottier,1009156.4803038847,866356.7426300825,649767.5569725619,1299535.1139451237,1841008.0780889255,455,320,122,26.813186813186814
2022,4,2022-10-01,2022T4,Neuquen-Plottier,1109999.3924549164,1094190.2937427268,729460.1958284846,1367737.8671784084,1823650.4895712114,470,309,158,33.61702127659574
2023,1,2023-01-01,2023T1,Neuquen-Plottier,1117430.7540438955,917540.8095926805,573463.0059954253,1452772.9485217442,1988005.0874508081,569,417,141,24.78031634446397
2023,2,2023-04-01,2023T2,Neuquen-Plottier,1083687.3868075083,981378.9926872905,552025.6833866009,1349396.1149450245,1840085.6112886698,594,468,116,19.52861952861953
2023,3,2023-07-01,2023T3,Neuquen-Plottier,1251408.8973884338,958819.388972585,575291.633383551,1438229.0834588774,2397048.4724314627,589,477,103,17.487266553480477
2023,4,2023-10-01,2023T4,Neuquen-Plottier,1267588.6778680962,1002764.0599860178,568232.9673254101,1504146.0899790267,2674037.4932960477,564,431,126,22.340425531914892
2024,1,2024-01-01,2024T1,Neuquen-Plottier,1009309.5741939307,818768.9200310482,409384.4600155241,1269091.8260481248,2046922.3000776204,559,412,136,24.329159212880143
2024,2,2024-04-01,2024T2,Neuquen-Plottier,1070077.6328804817,809793.2832993392,485875.9699796035,1295669.2532789428,2105462.536578282,557,373,177,31.77737881508079
2024,3,2024-07-01,2024T3,Neuquen-Plottier,1225330.4823199145,1004035.3849484312,573734.5056848178,1434336.2642120444,2581805.27558168,540,403,129,23.88888888888889
2024,4,2024-10-01,2024T4,Neuquen-Plottier,1332911.7317831526,1051284.9575484772,657053.0984677982,1576927.4363227158,2628212.393871193,574,419,145,25.261324041811843
2025,1,2025-01-01,2025T1,Neuquen-Plottier,1479636.9657756065,1218214.377886985,791839.3456265401,1827321.5668304772,2801893.069140065,519,415,100,19.26782273603083
2025,2,2025-04-01,2025T2,Neuquen-Plottier,1569959.5026636706,1130408.8105126603,791286.1673588622,1695613.2157689903,2826022.026281651,487,398,85,17.453798767967147
2025,3,2025-07-01,2025T3,Neuquen-Plottier,1583277.0980104378,1178322.7649276769,803401.8851779614,1928164.5244271073,2892246.786640661,475,374,98,20.63157894736842
2025,4,2025-10-01,2025T4,Neuquen-Plottier,1641473.4538706036,1300000.0,850000.0,2000000.0,3000000.0,470,361,104,22.127659574468083
